date,Average temperature (°F),Average humidity (%),Average dewpoint (°F),Average barometer (in),Average windspeed (mph),Average gustspeed (mph),Average direction (°deg),Rainfall for month (in),Maximum temperature (°F),Minimum temperature (°F),Maximum humidity (%),Minimum humidity (%),Maximum pressure,Minimum pressure,Maximum windspeed (mph)
2009-02-15,27.8,32.0,-0.0,30.2,13.8,19.7,270.0,0.03,35.0,16.0,8.0,17.0,30.286,29.989,32.2
2009-02-16,38.9,24.0,4.7,29.8,16.5,24.1,277.0,0.03,46.0,34.0,4.0,15.0,29.989,29.625,29.9
2009-02-17,32.5,44.0,12.2,29.6,16.6,22.9,267.0,0.03,37.0,26.0,8.0,27.0,29.812,29.473,34.5
2009-02-18,28.3,42.0,7.5,30.0,10.2,15.1,269.0,0.03,35.0,24.0,5.0,26.0,30.252,29.779,24.2
2009-02-19,27.8,37.0,4.3,30.3,14.5,20.0,256.0,0.03,34.0,22.0,5.0,23.0,30.354,30.156,27.6
2009-02-20,27.9,36.0,1.6,30.1,14.8,21.2,273.0,0.03,37.0,12.0,8.0,13.0,30.312,29.928,35.7
2009-02-21,34.7,29.0,3.1,30.2,10.9,15.3,266.0,0.03,50.0,8.0,8.0,15.0,30.348,30.089,27.6
2009-02-22,44.0,18.0,2.1,30.1,8.7,12.4,265.0,0.03,54.0,34.0,2.0,10.0,30.281,29.984,24.2
2009-02-23,44.7,47.0,24.8,29.9,9.7,14.0,266.0,0.03,53.0,38.0,6.0,27.0,30.059,29.844,26.5
2009-02-24,44.4,41.0,21.8,29.8,15.7,22.3,264.0,0.03,50.0,37.0,6.0,30.0,29.898,29.73,40.3
2009-02-25,45.8,32.0,15.6,29.8,10.4,14.8,265.0,0.03,56.0,33.0,8.0,13.0,29.957,29.632,25.3
2009-02-26,35.2,53.0,18.9,29.8,8.4,12.0,268.0,0.03,43.0,28.0,8.0,24.0,29.874,29.682,24.2
2009-02-27,26.7,45.0,6.6,30.0,9.8,14.7,278.0,0.03,34.0,18.0,7.0,25.0,30.475,29.753,28.8
2009-02-28,29.1,27.0,-2.0,30.5,4.6,7.1,349.0,0.03,42.0,16.0,5.0,10.0,30.629,30.404,21.9
2009-03-01,40.6,21.0,-0.3,30.3,7.4,10.6,242.0,0.0,58.0,14.0,5.0,9.0,30.534,29.947,23.0
2009-03-02,54.0,16.0,7.9,29.9,12.0,16.8,260.0,0.0,62.0,44.0,2.0,11.0,29.961,29.726,26.5
2009-03-03,48.7,30.0,17.9,29.8,11.8,16.7,266.0,0.0,58.0,31.0,4.0,19.0,29.887,29.705,27.6
2009-03-04,49.1,20.0,7.4,29.7,11.3,15.6,259.0,0.0,58.0,30.0,5.0,9.0,29.878,29.477,27.6
2009-03-05,38.5,26.0,5.1,29.7,12.8,18.0,266.0,0.0,46.0,29.0,4.0,14.0,29.913,29.473,36.8
2009-03-06,33.1,36.0,8.5,29.9,6.2,9.0,186.0,0.0,42.0,25.0,7.0,23.0,29.955,29.77,28.8
2009-03-07,27.8,66.0,17.0,29.8,5.8,8.4,263.0,0.03,38.0,19.0,8.0,35.0,29.952,29.738,27.6
